id,product_name,sku,category,brand,size,color,cost_price,selling_price,quantity,min_stock,barcode,status,description,created_at
15,Premium Nehru Jacket,SIMS0015,Jeans,FabricFirst,M,Lavender,4022.79,5760.28,443,5,8901346015326,active,"Premium Nehru Jacket by FabricFirst in Lavender, Size M - Jeans",2025-01-01T00:00:00
16,Formal Tie,SIMS0016,Dresses,FabricFirst,XS,Maroon,404.14,885.09,269,20,8902525375118,active,"Formal Tie by FabricFirst in Maroon, Size XS - Dresses",2025-04-04T00:00:00
17,Sporty Windcheater,SIMS0017,Activewear,StitchWell,S,Charcoal,4735.27,6402.27,401,14,8909843647376,active,"Sporty Windcheater by StitchWell in Charcoal, Size S - Activewear",2025-04-14T00:00:00
18,Premium Casual Shirt,SIMS0018,Sarees,Trendz,28,Burgundy,2527.8,6045.59,37,24,8902084351451,active,"Premium Casual Shirt by Trendz in Burgundy, Size 28 - Sarees",2024-05-31T00:00:00
19,Modern Cardigan,SIMS0019,Jackets,ThreadCraft,34,Coral,1997.39,4028.48,150,24,8907089665274,active,"Modern Cardigan by ThreadCraft in Coral, Size 34 - Jackets",2025-03-16T00:00:00
20,Slim Fit Tote Bag,SIMS0020,Shirts,StitchWell,36,Lavender,2235.84,5289.35,211,17,8905549063168,active,"Slim Fit Tote Bag by StitchWell in Lavender, Size 36 - Shirts",2025-03-01T00:00:00
21,Slim Fit Lehenga,SIMS0021,Kurtas,ThreadCraft,XXL,Beige,4774.92,10142.81,242,7,8901901048021,active,"Slim Fit Lehenga by ThreadCraft in Beige, Size XXL - Kurtas",2024-04-05T00:00:00
22,Luxury Sweater,SIMS0022,Dresses,UrbanFit,40,Dark Green,2994.36,5910.58,168,18,8909992765825,active,"Luxury Sweater by UrbanFit in Dark Green, Size 40 - Dresses",2024-12-28T00:00:00
23,Luxury Beret,SIMS0023,T-Shirts,FabricFirst,XL,Khaki,1855.48,3698.9,108,20,8903076753294,active,"Luxury Beret by FabricFirst in Khaki, Size XL - T-Shirts",2024-08-17T00:00:00
24,Slim Fit Anarkali Dress,SIMS0024,Kids Wear,FabricFirst,XXL,Red,2934.39,6657.15,432,24,8908529154189,active,"Slim Fit Anarkali Dress by FabricFirst in Red, Size XXL - Kids Wear",2025-11-22T00:00:00
25,Traditional Polo Shirt,SIMS0025,Activewear,UrbanFit,36,Beige,1025.02,2196.86,158,5,8905561049354,active,"Traditional Polo Shirt by UrbanFit in Beige, Size 36 - Activewear",2024-07-04T00:00:00
26,Regular Fit Vest,SIMS0026,Kurtas,UrbanFit,S,Dark Green,595.02,1152.3,192,15,8906634896368,active,"Regular Fit Vest by UrbanFit in Dark Green, Size S - Kurtas",2024-06-10T00:00:00
27,Sporty Saree,SIMS0027,Dresses,Trendz,40,Coral,4434.21,6592.32,386,26,8909292483716,active,"Sporty Saree by Trendz in Coral, Size 40 - Dresses",2024-03-24T00:00:00
28,Elegant Kaftan,SIMS0028,Kurtas,StyleCraft,30,Khaki,2158.79,3364.87,262,18,8902527632754,active,"Elegant Kaftan by StyleCraft in Khaki, Size 30 - Kurtas",2024-04-23T00:00:00
29,Trendy Gloves,SIMS0029,Activewear,FabricFirst,30,Peach,370.27,656.98,306,11,8901735271010,active,"Trendy Gloves by FabricFirst in Peach, Size 30 - Activewear",2024-11-04T00:00:00
30,Casual Duffle Bag,SIMS0030,Jeans,FabricFirst,40,Beige,1741.39,2279.96,382,9,8906780153732,active,"Casual Duffle Bag by FabricFirst in Beige, Size 40 - Jeans",2025-01-24T00:00:00
31,Traditional Hat,SIMS0031,Trousers,ThreadCraft,32,Lavender,499.57,1166.05,21,19,8906854840312,active,"Traditional Hat by ThreadCraft in Lavender, Size 32 - Trousers",2024-03-20T00:00:00
32,Comfort Vest,SIMS0032,Kurtas,DesignLoft,34,Teal,1554.15,2775.77,494,30,8905358964731,active,"Comfort Vest by DesignLoft in Teal, Size 34 - Kurtas",2025-09-24T00:00:00
33,Basic Belt,SIMS0033,Dresses,Trendz,S,Burgundy,1330.08,2669.0,268,14,8902055583360,active,"Basic Belt by Trendz in Burgundy, Size S - Dresses",2024-12-13T00:00:00
34,Formal Salwar Suit,SIMS0034,Jeans,Trendz,S,Peach,2723.43,4174.16,397,28,8905689235454,active,"Formal Salwar Suit by Trendz in Peach, Size S - Jeans",2025-10-22T00:00:00
35,Regular Fit Kurta,SIMS0035,Shirts,StitchWell,M,Beige,991.47,1470.79,388,10,8909798093019,active,"Regular Fit Kurta by StitchWell in Beige, Size M - Shirts",2025-10-05T00:00:00
36,Designer Night Suit,SIMS0036,Activewear,StyleCraft,40,Coral,3453.5,8144.93,329,15,8909526829689,active,"Designer Night Suit by StyleCraft in Coral, Size 40 - Activewear",2025-10-04T00:00:00
37,Comfort Trousers,SIMS0037,Sarees,StyleCraft,S,Cream,3212.22,7245.47,302,21,8901753929455,active,"Comfort Trousers by StyleCraft in Cream, Size S - Sarees",2024-03-16T00:00:00
38,Trendy Night Suit,SIMS0038,Sarees,ThreadCraft,XS,White,4183.73,5824.08,442,24,8902211939188,active,"Trendy Night Suit by ThreadCraft in White, Size XS - Sarees",2025-06-03T00:00:00
39,Essential Night Suit,SIMS0039,Activewear,StyleCraft,32,White,4558.89,9053.9,96,20,8905315459187,active,"Essential Night Suit by StyleCraft in White, Size 32 - Activewear",2025-05-28T00:00:00
40,Regular Fit Casual Shirt,SIMS0040,Sarees,Trendz,S,Mustard,2597.06,3913.95,126,21,8906875492066,active,"Regular Fit Casual Shirt by Trendz in Mustard, Size S - Sarees",2025-06-19T00:00:00
41,Urban Chinos,SIMS0041,Dresses,DesignLoft,XXL,Brown,2132.53,3638.18,306,25,8901702838090,active,"Urban Chinos by DesignLoft in Brown, Size XXL - Dresses",2024-12-08T00:00:00
42,Modern Salwar Suit,SIMS0042,Shirts,FabricFirst,32,Teal,1372.18,3186.04,493,15,8909089313329,active,"Modern Salwar Suit by FabricFirst in Teal, Size 32 - Shirts",2024-03-24T00:00:00
43,Ethnic Muffler,SIMS0043,Jeans,DesignLoft,XXL,Brown,775.42,1667.62,43,17,8905155137781,active,"Ethnic Muffler by DesignLoft in Brown, Size XXL - Jeans",2025-10-20T00:00:00
44,Comfort Wallet,SIMS0044,Jeans,Trendz,36,Peach,3283.22,5936.35,185,14,8901244686156,active,"Comfort Wallet by Trendz in Peach, Size 36 - Jeans",2024-07-03T00:00:00
45,Casual Salwar Suit,SIMS0045,Sarees,Elegance,L,Sky Blue,901.48,1491.9,403,29,8902357488374,active,"Casual Salwar Suit by Elegance in Sky Blue, Size L - Sarees",2025-07-06T00:00:00
46,Contemporary Formal Shirt,SIMS0046,Dresses,Elegance,40,Khaki,3046.65,4524.59,92,28,8909385124731,active,"Contemporary Formal Shirt by Elegance in Khaki, Size 40 - Dresses",2025-03-24T00:00:00
47,Classic Crop Top,SIMS0047,Dresses,StyleCraft,36,Sky Blue,3111.39,6853.99,401,22,8907025409139,active,"Classic Crop Top by StyleCraft in Sky Blue, Size 36 - Dresses",2024-09-01T00:00:00
48,Trendy Sling Bag,SIMS0048,Sarees,StyleCraft,L,Olive,2389.15,3913.73,195,18,8907749899377,active,"Trendy Sling Bag by StyleCraft in Olive, Size L - Sarees",2024-06-14T00:00:00
49,Casual Sling Bag,SIMS0049,Activewear,UrbanFit,M,Beige,3259.72,7656.89,283,8,8902376936076,active,"Casual Sling Bag by UrbanFit in Beige, Size M - Activewear",2024-10-18T00:00:00
50,Modern Backpack,SIMS0050,Jeans,Elegance,XL,Charcoal,4180.58,5894.85,466,16,8903980143667,active,"Modern Backpack by Elegance in Charcoal, Size XL - Jeans",2024-01-28T00:00:00
51,Luxury Casual Shirt,SIMS0051,Kurtas,StitchWell,32,Olive,2022.91,2827.88,114,8,8901378326850,active,"Luxury Casual Shirt by StitchWell in Olive, Size 32 - Kurtas",2025-10-27T00:00:00
52,Comfort Tote Bag,SIMS0052,Jeans,FabricFirst,M,White,4599.37,8586.78,425,19,8902862843970,active,"Comfort Tote Bag by FabricFirst in White, Size M - Jeans",2025-09-22T00:00:00
53,Premium Blazer,SIMS0053,T-Shirts,Elegance,XL,Grey,2811.7,6108.93,270,29,8906680829224,active,"Premium Blazer by Elegance in Grey, Size XL - T-Shirts",2024-10-22T00:00:00
54,Formal Saree,SIMS0054,Shirts,DesignLoft,XS,Sky Blue,3248.92,6651.75,32,24,8902487909473,active,"Formal Saree by DesignLoft in Sky Blue, Size XS - Shirts",2025-07-02T00:00:00
55,Premium Stole,SIMS0055,Kids Wear,Elegance,34,Sky Blue,1562.67,2034.4,180,18,8904228798583,active,"Premium Stole by Elegance in Sky Blue, Size 34 - Kids Wear",2024-07-10T00:00:00
56,Modern Down Jacket,SIMS0056,Dresses,UrbanFit,S,Peach,2043.7,3809.79,325,13,8906192633157,active,"Modern Down Jacket by UrbanFit in Peach, Size S - Dresses",2024-01-17T00:00:00
57,Sporty Tote Bag,SIMS0057,Shirts,Trendz,XXL,Sky Blue,3891.78,8492.74,170,16,8902790593215,active,"Sporty Tote Bag by Trendz in Sky Blue, Size XXL - Shirts",2025-07-13T00:00:00
58,Comfort Wallet,SIMS0058,Jeans,StyleCraft,40,Charcoal,3213.92,7307.8,32,14,8907142871314,active,"Comfort Wallet by StyleCraft in Charcoal, Size 40 - Jeans",2024-07-25T00:00:00
59,Classic Tote Bag,SIMS0059,Trousers,FabricFirst,XS,Mustard,2649.61,6589.44,278,6,8907353864142,active,"Classic Tote Bag by FabricFirst in Mustard, Size XS - Trousers",2025-10-24T00:00:00
60,Casual Waistcoat,SIMS0060,Dresses,ThreadCraft,40,White,1475.1,3332.56,223,17,8906369001366,active,"Casual Waistcoat by ThreadCraft in White, Size 40 - Dresses",2024-12-13T00:00:00
61,Oversized Rain Jacket,SIMS0061,Sarees,FabricFirst,XXL,Peach,4035.57,8767.27,40,10,8906779511387,active,"Oversized Rain Jacket by FabricFirst in Peach, Size XXL - Sarees",2025-07-12T00:00:00
62,Trendy Lehenga,SIMS0062,Shirts,FabricFirst,S,Mustard,1636.5,3310.88,218,19,8903236668298,active,"Trendy Lehenga by FabricFirst in Mustard, Size S - Shirts",2024-12-25T00:00:00
63,Basic Formal Shirt,SIMS0063,Dresses,FabricFirst,34,Burgundy,3251.43,7314.98,29,25,8902007185495,active,"Basic Formal Shirt by FabricFirst in Burgundy, Size 34 - Dresses",2025-02-19T00:00:00
64,Sporty Windcheater,SIMS0064,Jeans,StyleCraft,XS,Dark Green,318.77,440.12,398,16,8909659229556,active,"Sporty Windcheater by StyleCraft in Dark Green, Size XS - Jeans",2025-01-27T00:00:00
65,Ethnic Formal Shirt,SIMS0065,Activewear,ThreadCraft,M,Charcoal,1954.26,4330.06,293,16,8902848112477,active,"Ethnic Formal Shirt by ThreadCraft in Charcoal, Size M - Activewear",2025-02-11T00:00:00
66,Comfort Shawl,SIMS0066,Jackets,UrbanFit,L,Red,3718.02,7059.97,198,13,8908538643525,active,"Comfort Shawl by UrbanFit in Red, Size L - Jackets",2024-09-23T00:00:00
67,Basic Joggers,SIMS0067,Activewear,StitchWell,XL,Cream,744.79,1730.44,231,7,8903317354466,active,"Basic Joggers by StitchWell in Cream, Size XL - Activewear",2025-11-29T00:00:00
68,Comfort Muffler,SIMS0068,Dresses,FabricFirst,38,Navy Blue,4472.96,10384.58,364,30,8909559064832,active,"Comfort Muffler by FabricFirst in Navy Blue, Size 38 - Dresses",2025-01-05T00:00:00
69,Contemporary Track Pants,SIMS0069,Shirts,StitchWell,L,Dark Green,3983.31,5303.94,283,19,8908680977357,active,"Contemporary Track Pants by StitchWell in Dark Green, Size L - Shirts",2025-07-18T00:00:00
70,Regular Fit Scarf,SIMS0070,Shirts,DesignLoft,S,Brown,4998.04,10808.98,269,23,8906513598762,active,"Regular Fit Scarf by DesignLoft in Brown, Size S - Shirts",2024-03-16T00:00:00
71,Regular Fit Lehenga,SIMS0071,Shirts,ThreadCraft,30,Charcoal,772.42,1772.6,282,10,8909587168785,active,"Regular Fit Lehenga by ThreadCraft in Charcoal, Size 30 - Shirts",2024-05-12T00:00:00
72,Luxury Windcheater,SIMS0072,T-Shirts,Elegance,S,Peach,1625.0,2428.34,478,21,8904026210954,active,"Luxury Windcheater by Elegance in Peach, Size S - T-Shirts",2024-10-17T00:00:00
73,Modern Sherwani,SIMS0073,Trousers,FabricFirst,36,Lavender,757.08,1259.32,273,25,8902253974874,active,"Modern Sherwani by FabricFirst in Lavender, Size 36 - Trousers",2024-06-21T00:00:00
74,Ethnic Tie,SIMS0074,Jeans,ThreadCraft,M,Khaki,4236.27,8372.32,422,6,8901380822520,active,"Ethnic Tie by ThreadCraft in Khaki, Size M - Jeans",2025-10-18T00:00:00
75,Ethnic Sherwani,SIMS0075,Trousers,DesignLoft,40,Coral,3147.83,4206.58,455,14,8909417652879,active,"Ethnic Sherwani by DesignLoft in Coral, Size 40 - Trousers",2025-10-19T00:00:00
76,Trendy Bathrobe,SIMS0076,Trousers,FabricFirst,40,Teal,2349.69,4996.23,80,20,8906900285163,active,"Trendy Bathrobe by FabricFirst in Teal, Size 40 - Trousers",2025-04-20T00:00:00
77,Casual Salwar Suit,SIMS0077,Activewear,ThreadCraft,M,Mustard,3710.87,8657.21,499,29,8906351483726,active,"Casual Salwar Suit by ThreadCraft in Mustard, Size M - Activewear",2025-01-14T00:00:00
78,Contemporary Leather Jacket,SIMS0078,Shirts,StyleCraft,XXL,Sky Blue,744.23,1369.02,72,14,8902299384016,active,"Contemporary Leather Jacket by StyleCraft in Sky Blue, Size XXL - Shirts",2025-01-28T00:00:00
79,Urban Crop Top,SIMS0079,Trousers,ThreadCraft,M,Mustard,1070.7,1596.64,263,14,8907265486473,active,"Urban Crop Top by ThreadCraft in Mustard, Size M - Trousers",2025-05-24T00:00:00
80,Premium Blazer,SIMS0080,Kurtas,StitchWell,32,Charcoal,1193.45,2056.88,25,24,8904776300873,active,"Premium Blazer by StitchWell in Charcoal, Size 32 - Kurtas",2025-10-31T00:00:00
81,Designer Waistcoat,SIMS0081,Kids Wear,DesignLoft,XS,Red,799.58,1293.21,187,6,8906412384556,active,"Designer Waistcoat by DesignLoft in Red, Size XS - Kids Wear",2025-02-14T00:00:00
82,Classic Vest,SIMS0082,Kids Wear,FabricFirst,L,Olive,506.63,965.18,391,24,8908380056945,active,"Classic Vest by FabricFirst in Olive, Size L - Kids Wear",2025-11-27T00:00:00
83,Urban Hoodie,SIMS0083,Jeans,ThreadCraft,S,Teal,4005.25,6836.57,480,11,8905907085628,active,"Urban Hoodie by ThreadCraft in Teal, Size S - Jeans",2025-09-08T00:00:00
84,Contemporary Top,SIMS0084,Kids Wear,UrbanFit,XS,White,814.63,1384.58,242,9,8907970365668,active,"Contemporary Top by UrbanFit in White, Size XS - Kids Wear",2025-09-12T00:00:00
85,Contemporary Cardigan,SIMS0085,Dresses,Elegance,34,Mustard,2055.83,4193.48,431,15,8905016255385,active,"Contemporary Cardigan by Elegance in Mustard, Size 34 - Dresses",2025-06-03T00:00:00
86,Contemporary Bomber Jacket,SIMS0086,Sarees,FabricFirst,38,Coral,2453.23,3238.18,169,23,8902471087863,active,"Contemporary Bomber Jacket by FabricFirst in Coral, Size 38 - Sarees",2024-11-11T00:00:00
87,Premium Bow Tie,SIMS0087,Sarees,StitchWell,XL,Coral,3648.79,7298.41,87,28,8908036127290,active,"Premium Bow Tie by StitchWell in Coral, Size XL - Sarees",2025-09-26T00:00:00
88,Essential Trousers,SIMS0088,Trousers,Trendz,XS,Coral,1075.3,1966.99,214,27,8903032475962,active,"Essential Trousers by Trendz in Coral, Size XS - Trousers",2024-07-27T00:00:00
89,Luxury Windcheater,SIMS0089,Activewear,Elegance,30,White,2665.61,5259.42,339,17,8907420586677,active,"Luxury Windcheater by Elegance in White, Size 30 - Activewear",2024-11-17T00:00:00
90,Oversized Night Suit,SIMS0090,Kids Wear,ThreadCraft,XXL,Lavender,3427.96,8025.49,348,13,8909634348598,active,"Oversized Night Suit by ThreadCraft in Lavender, Size XXL - Kids Wear",2025-09-16T00:00:00
91,Designer Jeans,SIMS0091,Trousers,FabricFirst,XL,Lavender,1240.61,3061.2,152,27,8904878947836,active,"Designer Jeans by FabricFirst in Lavender, Size XL - Trousers",2025-05-15T00:00:00
92,Comfort Bathrobe,SIMS0092,Dresses,FabricFirst,32,Beige,741.09,1565.14,194,29,8906295324954,active,"Comfort Bathrobe by FabricFirst in Beige, Size 32 - Dresses",2024-05-29T00:00:00
93,Trendy Formal Shirt,SIMS0093,Jackets,ThreadCraft,38,Navy Blue,4631.45,9666.61,382,11,8907430093037,active,"Trendy Formal Shirt by ThreadCraft in Navy Blue, Size 38 - Jackets",2025-07-05T00:00:00
94,Elegant Leather Jacket,SIMS0094,Jackets,StitchWell,M,Red,1325.92,2789.47,271,12,8904028913591,active,"Elegant Leather Jacket by StitchWell in Red, Size M - Jackets",2024-02-23T00:00:00
95,Slim Fit Crop Top,SIMS0095,Dresses,Trendz,38,Cream,3453.78,5059.65,493,18,8908386707030,active,"Slim Fit Crop Top by Trendz in Cream, Size 38 - Dresses",2025-10-30T00:00:00
96,Designer Bathrobe,SIMS0096,Trousers,ThreadCraft,40,Brown,1534.26,2103.46,393,23,8902200721493,active,"Designer Bathrobe by ThreadCraft in Brown, Size 40 - Trousers",2024-08-25T00:00:00
97,Traditional Beanie,SIMS0097,T-Shirts,Elegance,M,Burgundy,4679.52,6287.44,428,10,8906328370973,active,"Traditional Beanie by Elegance in Burgundy, Size M - T-Shirts",2024-10-23T00:00:00
98,Classic Cotton T-Shirt,SIMS0098,Jackets,Trendz,34,Khaki,4653.01,7919.66,232,21,8909607549479,active,"Classic Cotton T-Shirt by Trendz in Khaki, Size 34 - Jackets",2025-05-20T00:00:00
99,Regular Fit Suspenders,SIMS0099,Kids Wear,StitchWell,30,Beige,4072.75,6910.73,374,13,8907159445792,active,"Regular Fit Suspenders by StitchWell in Beige, Size 30 - Kids Wear",2024-07-09T00:00:00
100,Premium Beanie,SIMS0100,Dresses,StitchWell,40,Brown,1001.15,2330.05,459,21,8906442399664,active,"Premium Beanie by StitchWell in Brown, Size 40 - Dresses",2024-12-01T00:00:00
101,Modern Top,SIMS0101,Shirts,StyleCraft,M,Dark Green,1719.47,2747.12,133,19,8906148248340,active,"Modern Top by StyleCraft in Dark Green, Size M - Shirts",2024-09-30T00:00:00
102,Comfort Saree,SIMS0102,Activewear,UrbanFit,38,Coral,1418.53,2456.13,120,8,8901833818695,active,"Comfort Saree by UrbanFit in Coral, Size 38 - Activewear",2025-04-21T00:00:00
103,Trendy Chinos,SIMS0103,Kurtas,FabricFirst,36,Peach,3497.91,7228.27,481,24,8904959927657,active,"Trendy Chinos by FabricFirst in Peach, Size 36 - Kurtas",2024-08-14T00:00:00
104,Formal Cardigan,SIMS0104,Sarees,ThreadCraft,M,Charcoal,2166.85,4245.04,241,11,8908214440295,active,"Formal Cardigan by ThreadCraft in Charcoal, Size M - Sarees",2024-09-10T00:00:00
105,Urban Tote Bag,SIMS0105,Shirts,ThreadCraft,32,Charcoal,528.8,1045.44,31,11,8908350423774,active,"Urban Tote Bag by ThreadCraft in Charcoal, Size 32 - Shirts",2025-08-09T00:00:00
106,Traditional Trousers,SIMS0106,Jeans,StyleCraft,XXL,Peach,713.76,1103.82,298,21,8907560937921,active,"Traditional Trousers by StyleCraft in Peach, Size XXL - Jeans",2025-04-01T00:00:00
107,Classic Night Suit,SIMS0107,Jeans,StyleCraft,32,Burgundy,2884.97,5685.0,344,17,8905136181812,active,"Classic Night Suit by StyleCraft in Burgundy, Size 32 - Jeans",2024-09-17T00:00:00
108,Premium Beanie,SIMS0108,Trousers,UrbanFit,34,Navy Blue,2204.93,4719.57,277,20,8901808737318,active,"Premium Beanie by UrbanFit in Navy Blue, Size 34 - Trousers",2024-02-02T00:00:00
109,Trendy Crop Top,SIMS0109,Jeans,DesignLoft,40,Dark Green,1966.14,4658.97,229,7,8906066670258,active,"Trendy Crop Top by DesignLoft in Dark Green, Size 40 - Jeans",2025-11-30T00:00:00
110,Traditional Cardigan,SIMS0110,Dresses,DesignLoft,S,Maroon,2714.89,5900.62,114,14,8901046617712,active,"Traditional Cardigan by DesignLoft in Maroon, Size S - Dresses",2025-04-19T00:00:00
111,Traditional Tank Top,SIMS0111,Kids Wear,StitchWell,28,Sky Blue,2384.03,3543.02,96,30,8902514575114,active,"Traditional Tank Top by StitchWell in Sky Blue, Size 28 - Kids Wear",2025-11-07T00:00:00
112,Luxury Scarf,SIMS0112,T-Shirts,Trendz,L,Grey,639.35,856.92,306,28,8901653322541,active,"Luxury Scarf by Trendz in Grey, Size L - T-Shirts",2024-02-15T00:00:00
113,Essential Kaftan,SIMS0113,Trousers,UrbanFit,32,Grey,829.66,2067.66,119,23,8908732422050,active,"Essential Kaftan by UrbanFit in Grey, Size 32 - Trousers",2025-09-04T00:00:00
114,Comfort Kurta,SIMS0114,Jackets,StitchWell,M,Peach,2155.77,3514.3,285,25,8908941221632,active,"Comfort Kurta by StitchWell in Peach, Size M - Jackets",2025-11-26T00:00:00
115,Luxury Leather Jacket,SIMS0115,Sarees,DesignLoft,XS,Olive,3961.15,6664.56,213,14,8906479561929,active,"Luxury Leather Jacket by DesignLoft in Olive, Size XS - Sarees",2025-01-20T00:00:00
116,Oversized Backpack,SIMS0116,Kids Wear,StitchWell,30,Sky Blue,1608.57,3456.97,412,22,8907214618417,active,"Oversized Backpack by StitchWell in Sky Blue, Size 30 - Kids Wear",2025-02-26T00:00:00
117,Luxury Leather Jacket,SIMS0117,Kids Wear,StitchWell,M,Teal,1386.73,2352.33,40,7,8907036936557,active,"Luxury Leather Jacket by StitchWell in Teal, Size M - Kids Wear",2025-07-02T00:00:00
118,Casual Casual Shirt,SIMS0118,Jackets,UrbanFit,28,Khaki,4387.06,6693.76,389,22,8908886414795,active,"Casual Casual Shirt by UrbanFit in Khaki, Size 28 - Jackets",2024-08-10T00:00:00
119,Designer Joggers,SIMS0119,Dresses,StitchWell,XL,Black,4695.22,11524.38,60,27,8907427967141,active,"Designer Joggers by StitchWell in Black, Size XL - Dresses",2025-09-10T00:00:00
120,Casual Top,SIMS0120,Trousers,FabricFirst,32,Mustard,1996.21,3873.41,183,16,8905139573843,active,"Casual Top by FabricFirst in Mustard, Size 32 - Trousers",2025-06-09T00:00:00
121,Designer Night Suit,SIMS0121,Shirts,ThreadCraft,40,Cream,4584.5,7999.25,211,12,8901613582382,active,"Designer Night Suit by ThreadCraft in Cream, Size 40 - Shirts",2024-05-29T00:00:00
122,Premium Sherwani,SIMS0122,Kids Wear,DesignLoft,34,Coral,1581.68,2428.56,117,12,8906098123182,active,"Premium Sherwani by DesignLoft in Coral, Size 34 - Kids Wear",2025-05-26T00:00:00
123,Traditional Shawl,SIMS0123,Dresses,StyleCraft,XL,Cream,2385.02,5197.74,180,28,8903271845927,active,"Traditional Shawl by StyleCraft in Cream, Size XL - Dresses",2025-07-13T00:00:00
124,Designer Shorts,SIMS0124,Kids Wear,UrbanFit,36,White,4219.48,5861.69,418,29,8909968637216,active,"Designer Shorts by UrbanFit in White, Size 36 - Kids Wear",2024-01-07T00:00:00
125,Luxury Cardigan,SIMS0125,Trousers,UrbanFit,S,Dark Green,1210.79,2236.59,30,26,8909292444191,active,"Luxury Cardigan by UrbanFit in Dark Green, Size S - Trousers",2025-09-23T00:00:00
126,Designer Muffler,SIMS0126,Sarees,DesignLoft,XS,Black,207.48,401.54,140,5,8908190555046,active,"Designer Muffler by DesignLoft in Black, Size XS - Sarees",2025-05-29T00:00:00
127,Luxury Sling Bag,SIMS0127,Jeans,Elegance,S,Red,1318.7,2695.08,129,30,8905757227944,active,"Luxury Sling Bag by Elegance in Red, Size S - Jeans",2025-02-10T00:00:00
128,Modern Maxi Dress,SIMS0128,Kurtas,StitchWell,30,Coral,4952.63,7780.72,350,25,8902082021993,active,"Modern Maxi Dress by StitchWell in Coral, Size 30 - Kurtas",2024-02-02T00:00:00
129,Modern Top,SIMS0129,Kurtas,StyleCraft,28,Lavender,422.16,553.6,87,18,8902109794373,active,"Modern Top by StyleCraft in Lavender, Size 28 - Kurtas",2025-10-22T00:00:00
130,Comfort Vest,SIMS0130,Shirts,StitchWell,32,White,1175.37,2752.41,454,13,8908607248070,active,"Comfort Vest by StitchWell in White, Size 32 - Shirts",2024-02-17T00:00:00
131,Modern Gloves,SIMS0131,Jackets,UrbanFit,32,Coral,1019.87,2366.62,8,9,8903780429185,active,"Modern Gloves by UrbanFit in Coral, Size 32 - Jackets",2025-02-11T00:00:00
132,Modern Saree,SIMS0132,Jeans,DesignLoft,34,Sky Blue,3433.62,6691.01,196,28,8902878385098,active,"Modern Saree by DesignLoft in Sky Blue, Size 34 - Jeans",2024-03-21T00:00:00
