id,supplier_name,contact_person,phone,email,gst_number,address,status,created_at
34,Dhoni Sports Wear Fabrics,Deepak Kumar,9884045292,info@dhonisportswearfabrics.com,27AABCU8007D9Z1,"115, Main Street, Thane, Maharashtra",active,2025-07-12T00:00:00
35,Kumble Silk House,Priya Saxena,9884158663,info@kumblesilkhouse.com,27AABCU3426D7Z2,"43, Ring Road, Ghaziabad, Uttar Pradesh",active,2024-02-10T00:00:00
36,Dravid Textiles,Gaurav Saxena,9843491314,info@dravidtextiles.com,27AABCU2684D6Z5,"906, Green Park, Pune, Maharashtra",inactive,2024-06-07T00:00:00
37,Laxman Cotton Co,Sneha Joshi,9833763566,info@laxmancottonco.com,27AABCU7755D1Z2,"755, Lake View, Hyderabad, Telangana",active,2025-11-16T00:00:00
38,Ganguly Fabric House,Preeti Joshi,9831367172,info@gangulyfabrichouse.com,27AABCU2771D7Z1,"880, Tech Park, Jaipur, Rajasthan",active,2024-07-23T00:00:00
39,Sehwag Threads,Mohan Kapoor,9850962024,info@sehwagthreads.com,27AABCU4728D4Z1,"676, Market Road, Kanpur, Uttar Pradesh",active,2024-12-02T00:00:00
40,Yuvraj Yarn Traders,Deepak Patel,9857130035,info@yuvrajyarntraders.com,27AABCU9346D7Z5,"340, MG Road, Jaipur, Rajasthan",active,2024-09-24T00:00:00
41,Harbhajan Synthetics,Anjali Bose,9815134794,info@harbhajansynthetics.com,27AABCU2776D7Z3,"747, Lake View, Jaipur, Rajasthan",active,2025-09-12T00:00:00
42,Zaheer Knit Fabrics,Arun Gupta,9887388337,info@zaheerknitfabrics.com,27AABCU4114D5Z1,"726, Green Park, Nagpur, Maharashtra",active,2025-06-16T00:00:00
43,Nehra Polyester Works,Sneha Pillai,9858884978,info@nehrapolyesterworks.com,27AABCU8066D2Z3,"639, Lake View, Pune, Maharashtra",active,2024-11-03T00:00:00
44,Bhuvneshwar Trims,Arun Mehta,9853779528,info@bhuvneshwartrims.com,27AABCU7592D5Z5,"131, Market Road, Indore, Madhya Pradesh",active,2025-11-11T00:00:00
45,Bumrah Packaging,Manish Kumar,9886384014,info@bumrahpackaging.com,27AABCU5930D7Z5,"854, MG Road, Ludhiana, Punjab",active,2024-10-20T00:00:00
46,Jadeja Labels,Suresh Malhotra,9891424737,info@jadejalabels.com,27AABCU6279D8Z4,"453, Market Road, Ghaziabad, Uttar Pradesh",inactive,2025-04-29T00:00:00
47,Ashwin Button House,Nidhi Kumar,9848089166,info@ashwinbuttonhouse.com,27AABCU9445D6Z1,"839, Market Road, Bangalore, Karnataka",active,2024-08-18T00:00:00
48,Rahane Zipper Works,Nidhi Reddy,9813278320,info@rahanezipperworks.com,27AABCU1757D4Z4,"626, Main Street, Kolkata, West Bengal",active,2025-02-28T00:00:00
49,Rohit Textile Mills,Gaurav Bose,9861536717,info@rohittextilemills.com,27AABCU9099D7Z2,"152, MG Road, Pune, Maharashtra",active,2025-03-11T00:00:00
50,Pant Hanger Industries,Meera Kumar,9872350830,info@panthangerindustries.com,27AABCU1822D9Z2,"940, Main Street, Visakhapatnam, Andhra Pradesh",active,2024-05-16T00:00:00
